MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366999001,2024-01-15T00:00:00,29.71719,-94.99287,12.2,221.2,221,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
,2024-01-15T00:00:00,29.71719,-94.99287,12.2,221.2,221,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:00:00,29.69408,-94.91002,10.1,1.4,359,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:00:00,29.74730,-95.00042,6.3,103.1,108,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:00:00,29.31058,-94.76035,6.1,84.5,86,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:00:00,29.65573,-94.89529,10.0,248.1,252,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:00:00,29.51991,-94.70024,0.2,249.1,246,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:00:00,29.74000,-95.00000,0.0,317.2,316,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:00:00,29.24544,-94.64567,4.8,38.4,34,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:05:00,29.70274,-95.00365,12.4,210.8,212,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:05:00,29.70735,-94.91218,9.6,347.9,351,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:05:00,29.74552,-94.99228,5.2,101.2,104,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:05:00,29.30977,-94.75463,3.6,100.7,99,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:05:00,29.64927,-94.90930,9.9,240.9,242,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:05:00,29.51971,-94.70086,0.4,250.8,250,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:05:00,29.74012,-95.00018,0.1,303.8,308,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:05:00,29.25007,-94.64287,3.8,24.9,27,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:10:00,29.68817,-95.01658,13.2,216.6,217,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:10:00,29.72005,-94.91458,9.3,348.3,350,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:10:00,29.74347,-94.98442,5.1,110.6,106,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
367777123,2024-01-15T00:10:00,29.30970,-94.74802,4.1,95.7,90,MISS GALVESTON,,WDD1180,30,0,24,8,3.1,,B
366515000,2024-01-15T00:10:00,29.64102,-94.92076,9.3,231.6,230,PORT PILOT II,9051234,WDE4410,60,0,45,12,3.8,60,A
367011500,2024-01-15T00:10:00,29.51960,-94.70119,0.2,243.5,247,ANCHOR QUEEN,9330012,WDF2277,80,1,230,40,13.0,80,A
368112900,2024-01-15T00:10:00,29.74033,-95.00036,0.2,326.3,322,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
368112900,2024-01-15T00:10:00,29.74033,-95.00036,0.2,326.3,322,HARBOR MOOR,,WDG9001,52,5,30,10,3.5,,A
367445090,2024-01-15T00:10:00,29.25633,-94.63795,5.5,36.2,34,LONE FISHER,,,30,0,20,7,2.8,,B
366999001,2024-01-15T00:15:00,29.67279,-95.02520,12.3,205.3,205,GULF VOYAGER,9134221,WDA2911,70,0,180,28,9.2,70,A
367123450,2024-01-15T00:15:00,29.73627,-94.91317,11.7,8.1,4,TEXAS STAR,9256677,WDB5522,80,0,250,44,12.5,80,A
368080720,2024-01-15T00:15:00,29.73994,-94.97708,5.2,122.7,119,BAYOU TUG 7,,WDC7003,52,0,32,11,4.0,,A
